Unnamed: 0,y tonz,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
RMS/Maps,MONITORING NETWORK,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent water quality conditions around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites)? In the notes, please specify whether RMS for each of the contaminents identified in the basin (see line 24). Answer Yes = existing and proposed monitoring wells are adequately distributed across DAC, domestic well, and Tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, domestic well, and Tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, domestic well, and Tribal areas.","NO = RMS are not located within one  mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","water quality, contaminents, COC, data gap, disadvantaged communit*, DAC",Somewhat,"Since the groundwater quality SMC uses TDS as a metric, the groundwater quality RMP
network only includes wells that are used to actively monitor TDS. The groundwater quality
RMP network consists of the following wells:
• 11 municipal supply wells for the City of Corning and Hamilton City
• 4 small water system supply wells","Page 5-27 / 5.4.1.6
&&
Figure 5-8
Table 5-3","1. How were WQ RMS listed? (CASGEM ID, lat/long, described) Lat/Long table 5-3
2. How many WQ RMS were we able to map? (all, some, none) All
3. Of those mapped, was there a well within 1 mile of DACs? Yes
4.Of those mapped, was there a well within 1 mile of Tribes? No
5. Of those mapped, was there a well within 1 mile of domestic wells? Yes

View Maps Here: https://drive.google.com/drive/folders/1DvXhefkUPGowM1T5JN2HSLnZfrVpB7UZ

The Paskenta tribe is not represented by WQ RMS. Minimal representation of DAC block groups. Drinking water representation is decent, concentrated where drinking water wells are most dense "
RMS/Maps,,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent shallow groundwater elevations around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites). In the notes, please specify any deficiencies in the distribution of representative monitoring sites (RMS). Yes = existing and proposed monitoring wells are adequately distributed across DAC, drinking wells, and tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, drinking wells, and tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, drinking wells, and tribal areas.","NO = RMS are not located within a mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","shallow monitoring well, data gap, disadvantaged communit*, DAC, tribal, tribe",Somewhat,"The RMP wells were divided into subsets of shallow zone wells and deep zone wells to check the representativeness of the network at various depths of the aquifer. A depth of 450 feet bgs was selected as the distinction between shallow and deep RMP wells, based on historical convention of the Northern Sacramento Valley groundwater elevation mapping, and also the depth of most domestic wells in the Subbasin. Of domestic wells in the subbasin, 99% have well depths that are 450 feet or less below ground surface. Of production wells in the subbasin, 81% have well depths that are 450 feet or less below ground surface, while 19% have well depths that are greater than 450 feet below ground surface. The deepest production well in the subbasin has
a well depth of 1,320 feet below ground surface, as of late 2019. The shallow zone RMP well network includes 36 wells with screening intervals that are entirely less than 450 feet bgs, and the deep zone includes 20 wells with screening intervals that include depths greater than 450 feet bgs. Seven of these deep zone wells have a top of screen interval
less than 450 feet bgs, and 2 have a well depth greater than 450 feet but an unknown screening
interval.The RMP well network is a subset of the initial GSP monitoring network. The RMP network was refined using the following rationale:

• 2 locations were added to the RMP network that were recently installed or added to the
GSP monitoring network as discussed in Section 5.2.3.
• 12 GSP monitoring wells did not have well screen information. 6 of these wells were
installed near other representative wells that had similar groundwater level trends so were
removed from the RMP well network. 6 wells without screen interval information were
retained in the RMP well network, as they were installed in locations that did not have
enough lateral coverage within the rest of the network to justify exclusion. Obtaining the
well screen information for these 6 locations is considered a data gap to be addressed
during GSP implementation as discussed in Section 5.2.6.
• 12 additional voluntary GSP monitoring network wells were installed in a similar
location and depth as another representative well; therefore, these wells were removed
from the RMP well network.
• 19 of the 41 GSP observation cluster wells were not included in the RMP well network as
the groundwater level trends matched closely with other wells in the cluster. As such, 22
total wells were selected for the shallow and deep RMP networks from the 11 observation
well clusters in the Subbasin.","Page 5-7 / 5.2.4
&&
Table 5-2","1. How were Elevation RMS listed? (CASGEM ID, lat/long, described) Lat/Long Table 5-2
2. How many Elevation RMS were we able to map? (all, some, none) All, I only mapped the shallow wells because these affect GDEs and drinking water users
3. Of those mapped, was there a well within 1 mile of DACs? Yes
4.Of those mapped, was there a well within 1 mile of Tribes? Yes
5. Of those mapped, was there a well within 1 mile of domestic wells? Yes

View Maps Here: https://drive.google.com/drive/folders/1DvXhefkUPGowM1T5JN2HSLnZfrVpB7UZ


Based on a one mile buffer around RMS, the Paskenta tribe is only partially represented in the representative monitoring network for water levels. Drinking water has good representation. DAC block groups have good representation on the left side of the basin but there are little to no RMS in the left part of the basin."
ISW/GDE,,,Environment,1,Does the GSP include a plan to identify and fill shallow monitoring well data gaps around GDEs and ISWs in the monitoring network?,"No plan in place to identify and fill shallow well data gaps around GDEs and ISWs; no potential plan
  = no
Mention of shallow monitoring data gap and need to fill but no detailed plan in monitoring network or PMAs; contradictory statements in different sections; potential PMA; City is handling it = somewhat
GSP has a clear plan to fill spatial and/or temporal data gaps with regards to GDEs and ISWs in monitoring network section or PMAs
. = yes","shallow monitoring well, data gap, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE ",Somewhat,"There are a few localized spatial data gaps shown on Figure 5-4 and Figure 5-5, where monitoring wells at one or more depths could be used to help further refine the understanding of groundwater conditions in areas of high groundwater use. These data gaps are noted along the Sacramento River to the southeast of Corning, near Thomes Creek to the northeast of Corning, and in the western one-third of the Subbasin in the limited areas where land is used for agriculture. The generalized locations for new wells were selected to provide adequate data for the following objectives listed in the Monitoring Network BMP: • Produce seasonal water elevation maps • Map groundwater depressions and recharge areas • Estimate change in groundwater storage • Demonstrate conditions at Subbasin boundaries The proposed wells could also be used to aid in the evaluation of groundwater and surface water interaction as discussed in Section 4.6.3. The data gap areas shown on Figure 5-4 and Figure 5-5 will be addressed in the future for each area by either identifying an existing well that meets the criteria for a valid monitoring well or drilling a new well, as further described in the Plan Implementation summary. As noted in Section 2.3 and 2.4 of the Plan Area, and shown on Figure 5-4 and Figure 5-5, large portions of the western one-third of the Subbasin are open grassland or shrubland with very minimal groundwater pumping; therefore, measuring groundwater levels in some of these areas is not considered a data gap for the GSP. If land use changes in the future, the monitoring network will be re-assessed to add more wells in this area as needed.

&& For example, there is a lack of shallow observation wells currently available near connected streams to effectively monitor streamflow depletion in all portions of the Subbasin. This is a common data gap in the Sacramento Valley. For this initial GSP, a subset of the groundwater level shallow RMP observation wells will be used as a proxy. Two specific shallow monitoring well data gaps were identified in Section 5.2.5 that would help characterize groundwater and surface water interaction adjacent to Thomes Creek and the northern boundary of the Subbasin as shown on Figure 5-2.","Page 5-14-15 / 5.2.6

Page 5-39 / 5.6.3","1. Is there a plan to fill shallow groundwater wells in the monitoring network section? somewhat - section 5.2.6 discusses in general terms the need for more groundwater monitoring sites but there is no plan in place to install/fill the shallow groundwater data gaps around ISWs/GDEs
2.And/OR is there a plan to fill shallow groundwater wells in the PMA section? no"
ISW/GDE,,,Environment,2,Does the GSP include any plans to incorporate GDE-related biological monitoring into the monitoring network?,"No plan or mention of biological monitoring 
  = no
Some coordination with other agencies; Mention of the possibility of future biological monitoring/surveys = somewhat
Clear plans for biological monitoring are described; Remote sensing; field surveys, etc. = yes","GDE Pulse, NDVI, normalized difference vegetation index, biologic*, survey, vegetation, fish",Yes,"GDE extent in general is not well refined in the Subbasin and is a data gap that will be addressed during GSP implementation with additional data collection and ground-truthing. For example, Thomes Creek does not have enough shallow groundwater level monitoring to evaluate changes in groundwater levels relative to GDE vegetation vigor. In addition, evidence reported by local stakeholders and farmers suggests that the central area of the Subbasin includes invasive species and is probably mostly fed by irrigation water runoff. GDE health over time can be assessed by the GSAs in the future relative to changes in groundwater elevation and streamflow using new remote sensing tools that evaluate changes in vegetation vigor such as the Nature Conservancy’s GDE Pulse. The GSAs plan to further refine GDE mapping and assess the impact on GDEs dueto streamflow depletion and lowering groundwater levels, should these conditions occur during GSP implementation.",Page 3-119 / 3.2.7.2,"1. Is there a plan in place for biological monitoring, including but not limited to field surveys, remote sensing (NDMI, NDVI), aerial photographs? yes - plan states that ground truthing will occur with implentation. Also, possibiliy of monitoring GDE health with GDE pulse."
WQ,PROJECTS & MANAGEMENT ACTIONS,,Environment,2,Does the GSP include any recharge projects with explicit benefits to the environment?,"NO = no recharge & no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to environment generally &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR, multi-benefit recharge",Yes,"7.4.3.4 Priority Project 4: Groundwater Recharge through Unlined Conveyance Features
This multi-benefit project would utilize the Corning and Tehama Colusa Canals to transport winter and spring flows from the Sacramento River to streams and drainages in the Corning Subbasin. The main goals of the project are:
1. Increase groundwater recharge in areas with recent declining groundwater level trends in some portions of the Subbasin, through conveyance by the unlined Corning Canal and creek beds
2. Enhance stream flows, increase interconnected surface water, and improve overall GDE health along streams in the Subbasin &&&
7.4.3.4.2 Expected Benefits and Evaluation of Benefits
The project would increase groundwater recharge in the Subbasin, that would benefit areas with groundwater pumping for irrigation and declining groundwater level trends. An example area that could benefit from groundwater recharge induced increase in groundwater levels and storage is the Corning WD lands downstream of where the Corning Canal intersects Thomes Creek. Increasing in-stream flows would benefit priority species, such as salmon and steelhead, by increasing stream stage, improving rearing habitat, and providing potential spawning habitat. The USBR could potentially receive credit for ecosystem enhancement provided by this project to meet environmental mitigation measures in the 1992 Central Valley Project Improvement Act (CVPIA), Title 34 of Public Law 102-575.","Page 7-41 / 7.4.3.4
Page 7-46 / 7.4.3.4.2
Figure 7-9 thru 7-11","1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to the environment? Yes benefit to GDE
3. Are the projects new, on-going or proposed? Conceptual
4. Are the projects implemented by the GSP or others? GSA
5. If others, is the GSP coordinating with the others in implementation?

The plan has multiple recharge projects, these are with explicit benefit to Environment
"
WQ,,,Environment,2,"Does the GSP include any habitat or stream restoration or invasive species removal projects (e.g., to improve water supply in the basin or GDE habitats)?",NO = on-going project without coordination. SOMEWHAT = on-going project with coordination &/or proposed project;  YES = the GSPs implementing;,"invasive species, habitat",Yes,"7.4.1.3 Project Type 3: Reduce non-beneficial ET
Many of the irrigation canals and streams that provide natural recharge and habitat in the Subbasin are overgrown with arundo and other invasive plants that transpire water intended for crop irrigation. Removal of invasive, high water using plants from surface water features in the Subbasin would increase water available for irrigation, recharge, or other uses.&&& Interconnected surface water. Removal of invasive, high water using plants reduces depletion of interconnected surface waters and benefits GDEs and in-stream habitat. &&&
7.5.2 Watershed Protection and Management and Flood Control
Watershed restoration and management benefits include enhanced flood control, greater groundwater recharge, reduced fire risk, and improved GDE habitat. While not easily quantified and therefore not currently included as projects in this Plan, watershed management activities may be worthwhile and benefit the basin, particularly in areas impacted by 2020 wildfires. Vegetated land reduces flood risk as plant roots hold soil in place, uptake stormwater, and slow overland flow. Healthy watersheds lead to greater groundwater recharge due to less stormwater runoff. Many small tributaries in the watersheds have high levels of siltation and diminished flood-carrying capacity due to invasive vegetation overgrowth. Invasive arundo overgrowth presents a wildfire risk because it forms thick stands of inaccessible and flammable vegetation. Finally, watershed restoration could benefit GDE habitat and priority species by providing more suitable habitat. Removal of silt, debris, and overgrowth of vegetation from streambeds is a recommended action in the Tehama and Glenn County Hazard Mitigation Plans (Tehama County, 2018; Michael Baker International, 2018).","Page 7-26 / 7.4.1.3
Page 7-36 / 7.4.3.3.2
Page 7-62 / 7.5.2","If yes to projects:
1. Are the projects new, on-going or proposed? Planning
2. Are the projects implemented by the GSP or others?The GSAs will collaborate with the Glenn and Tehama County RCDs to follow the legal authority
3. If others, is the GSP coordinating with the others in implementation? Yes
"
WQ,,,All,1,"Does the GSP identify benefits or impacts of identified projects and management actions to key beneficial users such as GDEs, drinking water users, tribes, DACs?","NO = no mention of benefits, &/ on-going project without coordination beyond general mention of ""beneficial users"". SOMEWHAT = beneficial users explicilty identified, but impacts not well described or beneficial users explicilty identifed and described, but no PMAs with benefits to GDEs, drinking water users, tribes or DACs;  YES = beneficial users exlicitly idenfitied, impacts and benefits described and PMAs with benefits to GDEs, drinking water users, tribes and DACs.","beneficial users, environment, GDE, DAC, trib*",Yes,"7.3.1.2 Management Action Type 2: Well management
Shallow domestic and small agricultural wells have been reported to go dry because of lowering groundwater levels in some parts of the Subbasin and in some dry years. It is important to identify if the reasons for the well impacts are due to 1) well maintenance and construction issues, 2) influence by deeper pumping in the vicinity, or 3) drought conditions. A thorough well inventory of currently used, abandoned, and dry wells will help the GSAs in identifying areas of concern that warrant additional protective measures.&&&
""7.4.3.4 Priority Project 4: Groundwater Recharge through Unlined Conveyance Features
This multi-benefit project would utilize the Corning and Tehama Colusa Canals to transport winter and spring flows from the Sacramento River to streams and drainages in the Corning Subbasin. The main goals of the project are:
1. Increase groundwater recharge in areas with recent declining groundwater level trends in some portions of the Subbasin, through conveyance by the unlined Corning Canal and creek beds
2. Enhance stream flows, increase interconnected surface water, and improve overall GDE health along streams in the Subbasin &&&
7.4.3.4.2 Expected Benefits and Evaluation of Benefits
The project would increase groundwater recharge in the Subbasin, that would benefit areas with groundwater pumping for irrigation and declining groundwater level trends. An example area that could benefit from groundwater recharge induced increase in groundwater levels and storage is the Corning WD lands downstream of where the Corning Canal intersects Thomes Creek. Increasing in-stream flows would benefit priority species, such as salmon and steelhead, by increasing stream stage, improving rearing habitat, and providing potential spawning habitat. The USBR could potentially receive credit for ecosystem enhancement provided by this project to meet environmental mitigation measures in the 1992 Central Valley Project Improvement Act (CVPIA), Title 34 of Public Law 102-575. &&&
7.5.1 Land Use Planning
The GSAs will work on an as-needed basis with Glenn and Tehama Counties, the City of Corning, Hamilton City CSD, and the Paskenta Band of Nomlaki Indians to assist with land use planning efforts. Coordination with the Counties on land use planning will primarily focus on general plan updates, as they occur in the future. The GSAs intend to provide input to the Counties regarding land use development, water demands, water availability, and locations of sensitive habitat including GDEs. The GSAs intend to notify the Counties and City of Corning planning departments during General Plan updates about the potential effects of land use changes on the GSAs ability to meet SMC for the various sustainability indicators.
7.5.2 Watershed Protection and Management and Flood Control
Watershed restoration and management benefits include enhanced flood control, greater groundwater recharge, reduced fire risk, and improved GDE habitat. While not easily quantified and therefore not currently included as projects in this Plan, watershed management activities may be worthwhile and benefit the basin, particularly in areas impacted by 2020 wildfires. Vegetated land reduces flood risk as plant roots hold soil in place, uptake stormwater, and slow overland flow. Healthy watersheds lead to greater groundwater recharge due to less stormwater runoff. Many small tributaries in the watersheds have high levels of siltation and diminished flood-carrying capacity due to invasive vegetation overgrowth. Invasive arundo overgrowth presents a wildfire risk because it forms thick stands of inaccessible and flammable vegetation. Finally, watershed restoration could benefit GDE habitat and priority species by providing more suitable habitat. Removal of silt, debris, and overgrowth of vegetation from streambeds is a recommended action in the Tehama and Glenn County Hazard Mitigation Plans (Tehama County, 2018; Michael Baker International, 2018).","Page 7-8 / 7.3.1.2
Page 7-41 / 7.4.3.4
Page 7-46 / 7.4.3.4.2
Figure 7-9 thru 7-11
Page 7-62 / 7.5.1
Page 7-62 / 7.5.2","1. Do they identify explicity beneficial users? Yes
2. Do they describe the impact or benefit to the users identified? Yes
3. Across all PMAs, do they include GDEs, drinking water users, Tribes and DACs? If yes, which? Domestic users and GDE 
4. Are the projects proposed, ongoing? These multiple projects are in conceptual, planning and implementation upon approval of GSA stages
5. Are the projects implemented by GSA or others? GSA and others
"
Stakeholder & WQ,,,DACs,2,Does the GSP include any recharge projects with explicit benefits to DACs?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR",No,"7.4.3.4 Priority Project 4: Groundwater Recharge through Unlined Conveyance Features
This multi-benefit project would utilize the Corning and Tehama Colusa Canals to transport winter and spring flows from the Sacramento River to streams and drainages in the Corning Subbasin. The main goals of the project are:
1. Increase groundwater recharge in areas with recent declining groundwater level trends in some portions of the Subbasin, through conveyance by the unlined Corning Canal and creek beds
2. Enhance stream flows, increase interconnected surface water, and improve overall GDE health along streams in the Subbasin &&&
7.4.3.4.2 Expected Benefits and Evaluation of Benefits
The project would increase groundwater recharge in the Subbasin, that would benefit areas with groundwater pumping for irrigation and declining groundwater level trends. An example area that could benefit from groundwater recharge induced increase in groundwater levels and storage is the Corning WD lands downstream of where the Corning Canal intersects Thomes Creek. Increasing in-stream flows would benefit priority species, such as salmon and steelhead, by increasing stream stage, improving rearing habitat, and providing potential spawning habitat. The USBR could potentially receive credit for ecosystem enhancement provided by this project to meet environmental mitigation measures in the 1992 Central Valley Project Improvement Act (CVPIA), Title 34 of Public Law 102-575.","Page 7-41 / 7.4.3.4
Page 7-46 / 7.4.3.4.2
Figure 7-9 thru 7-11","1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to DACs? No
3. Are the projects new, on-going and proposed?
4. Are the projects implemented by the GSP or others? 
5. If others, is the GSP coordinating with the others in implementation?
"
WQ,,,DACs / Drinking Water,,Does the GSP include a drinking water well mitigation program to avoid significiant and unreasonable loss of drinking water?,"NO: No well mitigation program SOMEWHAT: well mitigation program, but not explicitly for drinking water users and DACs &/ proposed or on-going with coordination YES: well mitigation program for drinking water users and DACs","drinking water, well mitigation program",Somewhat,"WELL MITIGATION PROGRAM: A well mitigation program will be established to address impacted wells. Specific actions that could be implemented by this mitigation program include well deepening, well replacement, or connection to existing public supply networks. Wells requiring mitigation based on specific criteria, may be identified using the well incident reporting system described above. Recommended methodology for developing a well mitigation program including potential cost is presented in Appendix 7B, a document developed by Self-Help enterprises, Leadership Counsel for Justice and Accountability, and the Community Water Center. This document outlines 6 key elements required for a robust mitigation program:
1. A thorough inventory of active well locations to increase understanding of the distribution and groundwater conditions in at-risk wells
2. An adaptive management trigger system developed in conjunction with SMC to allow for management to adjust prior to the occurrence of adverse impacts
3. A drinking water well impact model to quantify understanding of how groundwater elevation and quality declines in monitoring wells may lead to negative impacts in nearby at-risk drinking water wells",Page 7-12 / 7.3.2.1,"1. Is there a well mitigation program? Yes
2. Is the program new, on-going or proposed? Will be implemented upon aopproval of GSA
3. Is the well mitigation program explicitly for drinking water users and DACs? Drinking water users

"
WQ,,,DACs,1,Does the GSP identify potential impacts to water quality from Projects and Management Actions?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to DACs & the GSPs implementing;","water quality, disadvantaged communit*, DAC",Somewhat,"7.4.3.5 Priority Project 5: Off-Stream Surface Water Storage
This concept of diverting flood waters for off-stream storage and subsequent irrigation or for direct recharge has been widely studied and is being pursued in numerous groundwater basins across California. Off-stream surface water storage would provide water for irrigation in-lieu of groundwater pumping. This concept has been pursued in the past on a smaller scale by individual landowners within the Subbasin; these landowners will be consulted during the feasibility study. This project is dependent upon acquiring a new water supply, likely from ephemeral streams. &&& Groundwater quality. Increased groundwater recharge with high quality surface water may improve the naturally higher salinity groundwater in the western portion of the Subbasin.","Page 7-45 / 7.4.3.5
Page 7-49 / 7.4.3.5.1","1. Do those projects list potential impacts to water quality? Yes
2. Do those Projects list potential impacts to DAC? No
3. Are the projects new, on-going or proposed? Feasability study 1 to 2 years
4. Are the projects implemented by the GSP or others? GSA
5. If others, is the GSP coordinating with the others in implementation?
"
CC/Other,OTHER,,,,Does the GSP have plans to use Open ET to monitor groundwater extractions from agriculture?,"No: Open ET not mentioned in GSP
Somewhat: Satellite based evapotranspiration used in analysis and monitoring for future groundwater extractions from agriculture
Yes: Open ET identified as a resource that will be used for monitoring future extractions from agriculture",OpenET,No,,,
CC/Other,,,,,Does the GSP have plans to install meters on wells in the basin?,"No: No mention of installing meters on wells or mentions meters as a DWR recommendation but no plans to install
Somewhat: Mentions potential plans for installing meters in event of exceedance, or identifies need for meters but no details of plans for installation
Yes: Describes plans for installing meters in detail as a planned project  ",meters,Yes,"One example of revised policies for sustainable groundwater management is a revised well permitting process that considers groundwater levels, sustainable management criteria, nearby wells, and well construction details when permitting new wells. Tehama County has started discussion and development of a well permit modification process, whereby certain areas within the Subbasin that show vulnerability to groundwater sustainability due to declining groundwater levels, lack of surface water, or rapid expansion of agricultural lands, would necessitate additional well permitting requirements in order to get permitted. Glenn County is also considering a similar well permitting modification. In addition, all new wells permitted within Glenn County that are larger than 6 inches in diameter, are required to install a well meter.",Page 7-18 / 7.3.2.3,
CC/Other,,,,,"Does the GSP have plans to implement demand reduction (e.g., pumping cuts) in the basin?","No:  Demand reduction not mentioned 
Somewhat: Mentions potential plans for demand reduction in event of exceedance, or future potential PMAs of demand reduction
Yes: Planned PMAs of demand reduction are described","demand, demand reduction, pumping cuts, demand management",Yes,"Management Action 2: Grower Education Relating to On=Farm Practices for Sustainable Groundwater Management - The purpose of this management action is to provide research, education, and outreach to growers on the following topics: on-farm - groundwater management nexus, essential water use terms, the promises and pitfalls of irrigation efficiency, and on-farm practices for sustainable groundwater management. This section summarizes the main concepts related to grower education with additional detail of grower education topics and implementation practices provided in Appendix 7C...
...The 4 categories of on-farm management actions for sustainable groundwater management are:
1. Maximizing the use of surface water. This allows for less groundwater pumping and promotes in-lieu recharge.
2. Managing soils to improve infiltration and root zone soil moisture storage. This will allow crops to more effectively use precipitation and reduce the need for irrigation.
3. Reducing (and minimizing) non-beneficial ET. This could be accomplished through precision irrigation scheduling, switching from flood irrigation to micro-irrigation when appropriate, and practicing regulated deficit irrigation.
4. Establishing a groundwater user cooperative. This cooperative will coordinate agricultural pumping schedules to lessen the stress on the aquifer due to concentrated pumping in an area.
&&
Management Action 3: Policies and Ordinances - Potential requirements around this Tehama County well permit registration activity include:
• Well data tracking
• Domestic well management
• Design criteria for new agricultural wells
• Requirements for deeper seals and/or placement of well seals at certain depths
• Restrict new pumping in specific areas","Page 7-14 / 7.3.2.2
Page 7-18 / 7.3.2.3",
CC/Other,,,,,"Does the GSP have plans to implement supply augmentation (e.g., recharge projects, desalinating brackish groundwater) in the basin to achieve sustainability?","No: No plans in place for supply augmentation
Somewhat: Potential projects or evaluations of feasibility to implement supply augmentation mentioned
Yes: Planned supply augmentation described in detail to achieve sustainability","recharge, managed aquifer recharge, MAR, desalin*, brackish groundwater",Yes,"Priority Project 1: OUWUA Infrastructure Improvements for In-Lieu Recharge - The OUWUA Infrastructure Improvements for In-Lieu Recharge project goal is to modernize infrastructure and add management tools necessary to support and promote expanded surface water use for irrigation in lieu of groundwater pumping. The project incentivizes existing surface water users to continue using surface water for modern pressurized irrigation systems. The goal of the project is to maximize the use of surface water on lands within the OUWUA service area and potentially on neighboring lands within the context of strategic annexations.
&&
Priority Project 2: Regional Water Transfers for In-Lieu Recharge - The objective of this project is to facilitate inter- or intra-basin transfers of CVP or Orland Project water to maximize surface water use in lieu of groundwater pumping. To realize recharge benefits, this project must be complemented by other actions such as the OUWUA Infrastructure Improvements for In-Lieu Recharge to encourage surface water use over groundwater.
&&
Priority Project 4: Groundwater Recharge through Unlined Conveyance Features - This multi-benefit project would utilize the Corning and Tehama Colusa Canals to transport winter and spring flows from the Sacramento River to streams and drainages in the Corning Subbasin. The main goals of the project are:
1. Increase groundwater recharge in areas with recent declining groundwater level trends in some portions of the Subbasin, through conveyance by the unlined Corning Canal and creek beds
2. Enhance stream flows, increase interconnected surface water, and improve overall GDE health along streams in the Subbasin
&&
Priority Project 5: Off-Stream Surface Water Storage - This concept of diverting flood waters for off-stream storage and subsequent irrigation or for direct recharge has been widely studied and is being pursued in numerous groundwater basins across California. Off-stream surface water storage would provide water for irrigation in-lieu of groundwater pumping. This concept has been pursued in the past on a smaller scale by individual landowners within the Subbasin; these landowners will be consulted during the feasibility study. This project is dependent upon acquiring a new water supply, likely from ephemeral streams.
&&
Priority Project 6: Recycled Water Use for Irrigation - The purpose of this project is to use treated wastewater from local cities for agricultural irrigation purpose for in-lieu groundwater recharge. There is little treated wastewater available in the Subbasin to use for irrigation and treatment plants are located near the Sacramento River for convenient discharge. However, there is a potential for City of Corning and Hamilton City wastewater treatment plant recycled water to be used for irrigation at nearby fields.
The City of Corning’s wastewater treatment plant effluent is currently about 0.8 million gallons per day. It is permitted for 1.4 million gallons per day, should the City grow through population increase or annexation. However, water use efficiency measures for drought impact reduction have caused total water consumption to decrease and is now at 76% of water consumption compared to 2008.
This conceptual project requires additional evaluation to identify potential feasibility and grower interest.","Page 7-28 / 7.4.3.1
Page 7-32 / 7.4.3.2
Page 7-41 / 7.4.3.4
Page 7-47 / 7.4.3.5
Page 7-51 / 7.4.3.6","Some PMAs set for implementation as soon as GSP is released, others still waiting on feasibility studies"
CC/Other,,,,,"Do they evaluate whether Project and Management Actions close the gap for current and projected sustainable yield (e.g., overdraft as compared to the projected sustainable yield)? ","No: No mention of sustainable yield or overdraft, or closing the gap through PMAs
Somewhat: PMAs are described to close the gap but are future potential projects
Yes: Planned PMAs are identified as those that close the gap for projected sustainable yield and is demonstrated quantitatively","sustainable yield, overdraft, balance",Yes,"The historical groundwater budget shows a mostly balanced budget with an overall positive annual average change of groundwater in storage, and a cumulative change of groundwater in storage that is increasing over time, indicating no overdraft. However, between 2012 and 2015, annual change in storage declined to negative values. This could be the start of declining groundwater in storage and overdraft could occur if this trend continues.
&&
Priority Project 7: City of Corning Stormwater Improvements and Groundwater Recharge
Relevant measurable objectives benefiting from this project include:
• Groundwater elevation. Increased groundwater recharge will result in higher groundwater levels.
• Groundwater storage. Increased groundwater recharge will result in higher groundwater levels, increased groundwater in storage, and will help achieve long-term sustainable yield.
• Land subsidence. Increased groundwater recharge reduces the potential for subsidence caused by overdraft from lowering of groundwater levels.
&&
Management Action 2: Grower Education Relating to On-Farm Practices for Sustainable Groundwater Management
The measurable objectives benefiting from grower education include:
• Groundwater elevation. BMPs that promote less pumping will result in higher groundwater levels.
• Groundwater storage. Groundwater in storage is directly related to groundwater levels, so higher groundwater levels will help achieve long-term sustainable yield.
• Land subsidence. BMPs that reduce the pumping stress on the local aquifer(s) thereby reduce the potential for subsidence.
• Interconnected surface. Conjunctive use of water resources lessens the burden of groundwater-pumping induced streamflow depletion.
&&
Management Action 3: Policies and Ordinances
The measurable objectives benefiting from updated policies and ordinances include:
• Groundwater elevation. Policies and ordinances that promote less pumping will result in higher groundwater levels.
• Groundwater storage. Policies and ordinances that reduce pumping contribute to increasing groundwater elevations. In turn, groundwater in storage will also increase and will help achieve long-term sustainable yield.
• Land subsidence. Policies and ordinances that reduce pumping stress on the local aquifer(s) thereby reduce the potential for subsidence.","Page 4-88 / 4.5
Page 7-55 / 7.4.3.7.1
Page 7-15 / 7.3.2.2.1
Page 7-18 / 7.3.2.3.1",
CC/Other,,,,,Does the GSP reference / propose any new water markets in the basin?,"No: No new water markets referenced or proposed
Somewhat: no somewhat for this question
Yes: New water markets are referenced or proposed",water market,Yes,"This project would formulate and effectuate an agreement between OUWUA, the TCCA, and the USBR to allow OUWUA to utilize the Tehama-Colusa Canal as an intertie conveyance between its Northside laterals and also to its Southside service area. This would enable surpluses to be discharged to the canal and either conveyed to other lateral systems or exchanged as credit to meet demands elsewhere in the OUWUA. The canal connection could also facilitate future water transfers to other CVP contractors. OUWUA is currently in discussion with USBR to take title of the Orland Project facilities and allow for revenue generation through the transfer and sale of surplus water.",Page 7-29 / 7.4.3.1,
